From_Date,To_Date
07/16/2022,07/26/2022

CourierId,VoucherNum,Courier_type,pieces,PickupId,VoucherNum2,pAddr1,Paddr21,City_State,Pu_Tm,VoucherNum3,dAddr1,Paddr22,Dcity_Dstate,Del_Tm,Textbox37,Total_Amount
34769 -  AUTOMATION COURIER,,,,,,,,,,,,,,,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32436364 / 07/20/2022,PU,PCS : 10     WT : 50.00,PU#   3441598,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : 7/20/2022 08:44,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : 7/20/2022 08:46,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32445097 / 07/26/2022,PU,PCS : 10     WT : 50.00,PU#   3450331,Automation,1525 14th St NW,,"WASHINGTON, DC 20005",PU TM : ,WASHINGTON NATL (DCA),1 Aviation Cir,,"WASHINGTON, DC 22202",DEL TM : ,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32436378 / 07/20/2022,PU,PCS : 1     WT : 20.00,PU#   3441612,AUTOMATION RV (F5505),304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 7/20/2022 08:20,AUTOMATION SPL RV,2074 PAUL WAYNE HAGGERTY ROAD,,"METAIRIE, LA 70001",DEL TM : 7/20/2022 08:22,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32436363 / 07/20/2022,PU,PCS : 2     WT : 20.00,PU#   3441597,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : 7/20/2022 07:39,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : 7/20/2022 08:41,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32445101 / 07/25/2022,PU,PCS : 2     WT : 20.00,PU#   3450335,Automation,612 E Dallas Rd,Ste 200,"GRAPEVINE, TX 76051",PU TM : ,AutoTest,44 Folly Road,,"Charleston, SC 29407",DEL TM : ,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32445139 / 07/26/2022,PU,PCS : 1     WT : 20.00,PU#   3450373,AUTOMATION RV (F5505),304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,AUTOMATION SPL RV,2074 PAUL WAYNE HAGGERTY ROAD,,"METAIRIE, LA 70001",DEL TM : ,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32436366 / 07/20/2022,PU,PCS : 1     WT : 20.00,PU#   3441600,AUTOMATION RV,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : 7/20/2022 07:59,FedEx Ship Center,12606 Fuqua St,,"HOUSTON, TX 77034",DEL TM : 7/20/2022 09:00,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,32445098 / 07/25/2022,PU,PCS : 1     WT : 20.00,PU#   3450332,AUTOMATION RV,304 W BAY AREA BLVD.,,"FONDREN, TX 77598",PU TM : ,FedEx Ship Center,12606 Fuqua St,,"HOUSTON, TX 77034",DEL TM : ,,           TotalShipment : 8        Total PCS : 28        Total WT :  220      
,,,,,,,,,,,,,,,           Shipment : 8        SubTotal PCS : 28        SubTotal WT :  220      ,           TotalShipment : 8        Total PCS : 28        Total WT :  220      

