TitleField1,TitleField2,TitleField3,TitleField4,TitleField5,SrAlias,ClientName,QNo,Site,PartDesc,Part,Field2,Field3,Field4,Field5,SerialNo,QuarantinedQty,PartLocation,NGLStockId,InboundDate,QuarantinedBy_Date,QuarantinedReason,CategoryName,QuarantinedOn1,QuarantineSource,CarrierName,TrackingNo,ASNRef,SubTotal,Total
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,2206,TEST FSL, PART 10327201, PART 10327201, PART API 10327201, PART API 10327201, PART API 10327201, PART API 10327201, ,0,  DEFAULTBIN, 30915831, 12/31/2018,dbo         10/22/2019,,,WOI - 763808, FSL Inventory Report,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,2207,TEST FSL, PART 10327201, PART 10327201, PART API 10327201, PART API 10327201, PART API 10327201, PART API 10327201, ,2,  DEFAULTBIN, 30915831, 12/31/2018,dbo         10/22/2019,,,WOI - 763808, FSL Inventory Report,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,3866,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000001,0,  DEFAULTBIN, 30915833, 12/31/2018,dbo         10/22/2019,,,WOI - 763808, FSL Inventory Report,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,5513,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000103,1,  DEFAULTBIN, , ,dbo         10/22/2019,,,WOI - 1042652, AddToQuarantine,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,5514,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000104,1,  DEFAULTBIN, , ,dbo         10/22/2019,,,WOI - 1042652, AddToQuarantine,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,5515,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000105,1,  DEFAULTBIN, , ,dbo         10/22/2019,,,WOI - 1042652, AddToQuarantine,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,5516,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000106,1,  DEFAULTBIN, , ,dbo         10/22/2019,,,WOI - 1042652, AddToQuarantine,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,5517,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000107,1,  DEFAULTBIN, , ,dbo         10/22/2019,,,WOI - 1042652, AddToQuarantine,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,5646,TEST FSL, ITEM001-0131-01, 00131-01, 00131-01, 00131-01, 00131-01, 00131-01, ,1,  DEFAULTBIN, , ,samyakqa         11/01/2019,Unexpected Receipt,MOBILE,WOI - 1053028, AddToQuarantine,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,6037,TEST FSL, PART 10327203, PART 10327203, PART API 10327203, PART API 10327203, PART API 10327203, PART API 10327203, 10000101,1,  DEFAULTBIN, 31388671, 10/18/2019,samyakqa         11/27/2019,Stock Out,MOBILE,PU# - 5832957, Outbound,,,,,170
PART #,SERIAL#,FIELD 3#,FIELD 4#,FIELD 5#,SR#,TEST QA ACCOUNT #103272,6639,TEST FSL, ITEM001-0228-01, 00228-01, 00228-01, 00228-01, 00228-01, 00228-01, ,1,  DEFAULTBIN, 31496368, 12/25/2019,samyakqa         01/04/2020,Unexpected Receipt,MOBILE,PU# - 6012245, Outbound,,,,,170
